make,model_year,engine_type,vehicle_age,mileage,driving_condition,service_interval,days_since_service,oil_level,tire_pressure,brake_wear,fault_codes,maintenance_cost
Tesla,2010,gas,14,261969.4,city,90,33,High,35.4,100.0,2,471.79
Toyota,2013,diesel,11,373155.9,highway,365,57,High,33.1,100.0,2,744.14
Chevrolet,2015,electric,9,261384.6,highway,90,51,N/A,31.4,100.0,1,526.67
Chevrolet,2014,gas,10,169564.3,mixed,365,156,High,33.3,100.0,0,480.9
Ford,2019,electric,5,124957.5,highway,365,34,N/A,28.2,100.0,1,511.86
BMW,2013,diesel,11,99508.4,mixed,180,74,High,34.8,100.0,0,624.19
Chevrolet,2011,gas,13,227267.3,mixed,365,288,Low,35.6,100.0,1,499.39
BMW,2014,electric,10,77219.4,mixed,365,74,N/A,31.0,100.0,0,393.76
Tesla,2010,gas,14,261171.4,city,90,72,Low,30.3,100.0,3,754.2
Ford,2021,diesel,3,59736.4,highway,180,77,High,31.1,88.0,0,588.46
Ford,2018,diesel,6,156293.8,highway,180,8,High,32.8,100.0,0,615.89
Tesla,2018,diesel,6,198549.0,highway,90,47,Medium,33.6,100.0,1,625.39
Ford,2015,diesel,9,314459.4,mixed,180,66,High,37.8,100.0,1,689.54
Ford,2016,diesel,8,136472.7,highway,180,163,Low,37.5,100.0,3,1003.24
Honda,2012,diesel,12,149557.9,mixed,90,70,Low,35.5,100.0,2,873.95
Toyota,2013,electric,11,264703.3,mixed,180,118,N/A,33.4,100.0,0,335.65
Tesla,2010,gas,14,199598.3,mixed,180,171,Low,30.2,100.0,2,969.7
BMW,2010,diesel,14,156253.4,highway,180,132,Medium,38.0,100.0,2,843.62
Ford,2014,gas,10,277684.3,mixed,365,214,Medium,32.3,100.0,1,516.72
Toyota,2020,electric,4,130157.8,city,365,85,N/A,33.8,100.0,0,396.51
Tesla,2018,diesel,6,196590.1,highway,90,89,Low,34.9,100.0,0,535.05
Chevrolet,2017,gas,7,197215.9,mixed,90,75,Low,33.2,100.0,2,756.18
Toyota,2013,gas,11,176447.2,mixed,180,39,High,36.5,100.0,0,508.78
Chevrolet,2011,gas,13,336857.6,highway,90,18,High,34.4,100.0,1,498.11
BMW,2016,electric,8,195272.8,city,365,46,N/A,36.0,100.0,0,404.0
Honda,2014,diesel,10,206213.8,mixed,180,64,High,34.3,100.0,0,530.23
BMW,2014,electric,10,78244.7,mixed,365,145,N/A,32.9,100.0,0,398.2
BMW,2019,electric,5,149011.1,city,180,177,N/A,33.2,100.0,1,516.55
Ford,2010,gas,14,316597.8,city,365,285,Low,32.8,100.0,1,562.89
BMW,2022,diesel,2,43580.5,city,180,125,Medium,29.1,100.0,0,763.11
Chevrolet,2017,diesel,7,131899.9,mixed,180,65,High,30.0,100.0,3,704.69
BMW,2015,diesel,9,150643.5,mixed,365,4,High,35.2,100.0,1,578.55
